Title,Assessment Grade,Size in Bytes,Revisions,Registered Edits,IP Edits,Bot Edits,Unique Editors,Major Edits,Minor Edits,Semi Auto Edits,Reverted Edits,Average Time Between Edits,Average Edits Per User,Average Edits Per Day,Average Edits Per Month,Average Edits Per Year,Edits Made By Top 10
Achalinus,Stub,8368,59,0,3,13,41,0,23,9,1,2347.2,1.4,0.0,0.3,3.7,27
Acrodont,Stub,4149,51,0,12,15,34,0,17,5,0,2676.0,1.5,0.0,0.3,3.3,23
90min,Stub,11633,47,0,1,9,23,0,18,18,1,1197.6,2.0,0.0,0.6,7.3,30
102 FM,Stub,1990,67,0,5,9,36,0,15,8,3,1051.1999999999998,1.9,0.0,0.7,8.3,40
ABB Arena,Stub,5415,60,0,17,7,38,0,15,5,1,1754.3999999999999,1.6,0.0,0.4,5.0,31
Israel Alves,Stub,5409,18,0,0,0,8,0,4,3,0,2068.8,2.3,0.0,0.4,4.2,18
AHFC Royals,Stub,3695,34,0,17,1,24,0,3,2,0,1116.0,1.4,0.0,0.7,7.9,20
16 Acres,Stub,3140,20,0,3,5,16,0,3,4,0,3856.7999999999997,1.3,0.0,0.2,2.3,12
A Grain of Sand,Stub,1228,13,0,4,0,3,0,1,0,0,0.0,4.3,0.0,0.0,0.0,13
Ahti,Stub,4209,105,0,42,11,76,0,26,11,3,1478.4,1.4,0.0,0.5,5.9,38
John Aleyn,Stub,1084,18,0,0,2,14,0,5,5,0,7346.400000000001,1.3,0.0,0.1,1.2,14
Aldwine,Stub,2883,62,0,0,5,17,0,20,10,0,2198.3999999999996,3.6,0.0,0.3,4.0,55
Bodysong,Stub,3592,72,0,14,10,53,0,21,16,1,2097.6000000000004,1.4,0.0,0.3,4.2,28
Carbon Nation,Stub,4483,146,0,57,11,95,0,34,56,71,744.0,1.5,0.0,1.0,11.8,58
Adrian Desmond,Stub,3280,39,0,10,5,24,0,6,6,0,1917.6000000000001,1.6,0.0,0.4,4.6,24
Primo Dorello,Stub,5523,22,0,0,4,8,0,5,6,0,496.79999999999995,2.8,0.1,1.5,17.6,18
Causal graph,Stub,12521,79,0,1,9,26,0,25,13,1,916.8000000000001,3.0,0.0,0.8,9.6,59
A due,Stub,1739,54,0,9,4,38,0,23,7,4,2402.3999999999996,1.4,0.0,0.3,3.6,26
B major,Stub,3650,462,0,209,22,285,0,102,53,50,324.0,1.6,0.1,2.3,27.0,80
BeatRoot,Stub,1790,12,0,2,1,10,0,3,4,0,4622.4,1.2,0.0,0.2,1.9,11
Euouae,Stub,4539,105,0,21,11,66,0,30,14,8,1389.6,1.6,0.0,0.5,6.3,40
Dorico,Stub,22420,188,0,34,5,73,0,58,16,10,328.79999999999995,2.6,0.1,2.2,26.6,100
Aakola,Stub,3911,13,0,1,1,10,0,5,3,1,2140.8,1.3,0.0,0.3,4.1,12
Aband,Stub,1784,3,0,0,2,3,0,1,0,0,8959.2,1.0,0.0,0.1,1.0,1
Abellu,Stub,1906,6,0,0,3,5,0,2,0,1,10884.0,1.2,0.0,0.1,0.8,3
Abeyyat,Stub,1884,4,0,0,2,4,0,2,1,0,9763.2,1.0,0.0,0.1,0.9,2
Aduk,Stub,2515,9,0,0,4,7,0,4,1,1,8690.400000000001,1.3,0.0,0.1,1.0,5
123Net,Stub,7375,57,0,15,10,31,0,14,11,1,1694.3999999999999,1.8,0.0,0.4,5.2,32
