Title,Assessment Grade,Size in Bytes,Revisions,Registered Edits,IP Edits,Bot Edits,Unique Editors,Major Edits,Minor Edits,Semi Auto Edits,Reverted Edits,Average Time Between Edits,Average Edits Per User,Average Edits Per Day,Average Edits Per Month,Average Edits Per Year,Edits Made By Top 10
Alpaca,C,43241,2330,0,823,153,1230,0,735,428,475,81.6,1.9,0.4,8.8,106.1,305
Barbary lion,C,38199,2085,0,471,115,790,0,513,256,324,79.19999999999999,2.6,0.4,9.2,110.8,827
Bengal fox,C,16353,294,0,53,47,173,0,114,44,31,571.2,1.7,0.1,1.3,15.4,76
Protypotherium,C,73651,187,0,9,25,46,0,34,17,1,804.0,4.1,0.0,0.9,10.9,140
Alpine goat,C,8713,156,0,70,20,110,0,43,35,91,823.1999999999999,1.4,0.0,0.9,10.6,38
Aerial Gunner,C,10592,92,0,11,10,45,0,42,17,2,1356.0,2.0,0.0,0.5,6.5,54
American Sniper,C,83561,2852,0,949,77,1025,0,397,390,392,31.200000000000003,2.8,1.0,23.2,278.4,763
Alex & Eve,C,31391,109,0,7,9,40,0,44,9,0,602.4000000000001,2.7,0.1,1.2,14.6,75
American Hustle,C,35182,1745,0,650,54,826,0,266,184,144,52.800000000000004,2.1,0.6,13.9,167.3,375
AmeriQua,C,37123,78,0,3,7,25,0,46,13,2,453.59999999999997,3.1,0.1,1.6,19.3,60
Batu Ferringhi,C,12237,280,0,85,33,139,0,94,38,32,564.0,2.0,0.1,1.3,15.5,87
Bay of Dili,C,15765,25,0,0,4,5,0,4,0,0,492.0,5.0,0.1,1.5,17.8,21
Benue State,C,38963,620,0,135,58,313,0,180,52,20,261.6,2.0,0.1,2.8,33.5,149
Bingen Forest,C,7685,24,0,1,6,17,0,7,6,0,3254.3999999999996,1.4,0.0,0.2,2.7,16
Boram block,C,17838,10,0,0,0,5,0,2,0,0,597.5999999999999,2.0,0.1,1.2,10.0,10
Chartism,C,53788,1267,0,449,96,725,0,361,161,159,144.0,1.7,0.2,5.1,60.7,168
Jean Cholet,C,28551,159,0,1,14,36,0,55,12,1,849.5999999999999,4.4,0.0,0.9,10.3,128
Christ I,C,18386,119,0,13,7,43,0,24,7,3,1132.8000000000002,2.8,0.0,0.6,7.7,82
Christmas market,C,20777,598,0,204,50,366,0,165,74,62,271.20000000000005,1.6,0.1,2.7,32.2,111
Cimabue,C,16835,486,0,108,63,277,0,183,56,40,393.59999999999997,1.8,0.1,1.9,22.3,106
Barbara Cook,C,49892,552,0,100,60,239,0,126,43,12,300.0,2.3,0.1,2.4,29.1,227
Nick Cordero,C,24111,604,0,207,22,302,0,83,66,70,134.39999999999998,2.0,0.2,5.4,64.9,137
EJay Day,C,42270,474,0,28,23,90,0,52,55,13,333.6,5.3,0.1,2.2,26.3,379
Daisy Burrell,C,35852,396,0,7,11,47,0,87,11,1,256.79999999999995,8.4,0.1,2.8,34.2,355
Renee Brna,C,9812,42,0,0,8,24,0,20,7,1,888.0,1.8,0.0,0.8,9.9,28
Nerve agent,C,57359,1176,0,423,92,673,0,381,104,110,163.2,1.7,0.2,4.5,53.9,171
Citizen science,C,221234,1444,0,284,119,534,0,378,127,64,110.39999999999999,2.7,0.3,6.6,79.5,397
DARPA,C,133577,2024,0,612,154,1020,0,567,257,234,93.6,2.0,0.3,7.8,94.1,417
HeLa,C,50027,1376,0,405,131,703,0,416,179,169,127.19999999999999,2.0,0.2,5.8,69.1,213
Flint water crisis,C,354561,3559,0,689,150,986,0,574,368,317,19.200000000000003,3.6,1.6,38.7,464.4,1905
STL Premier,C,15777,37,0,1,5,11,0,4,1,1,376.79999999999995,3.4,0.1,1.9,23.2,32
Danish Sait,C,18941,393,0,51,24,123,0,49,50,31,194.39999999999998,3.2,0.2,3.7,44.8,225
Scheels,C,9300,375,0,129,20,183,0,61,29,26,408.0,2.0,0.1,1.8,21.5,140
Sandboarding,C,13310,568,0,209,38,294,0,122,74,64,288.0,1.9,0.1,2.5,30.5,169
Sportsnet,C,51416,1375,0,542,56,537,0,227,106,82,124.80000000000001,2.6,0.2,5.8,69.7,366
AECOM,C,24559,889,0,340,58,422,0,158,63,42,165.60000000000002,2.1,0.2,4.4,53.2,239
Brake fluid,C,18354,543,0,233,43,340,0,146,74,79,300.0,1.6,0.1,2.4,29.3,99
Boffin,C,40020,672,0,168,41,294,0,239,60,44,254.39999999999998,2.3,0.1,2.9,34.6,274
Cast iron,C,30176,1387,0,549,91,760,0,431,264,302,132.0,1.8,0.2,5.6,66.9,270
Backflow,C,6860,64,0,7,7,37,0,16,9,9,1682.3999999999999,1.7,0.0,0.4,5.2,35
Abo bat,Start,2615,47,0,0,15,29,0,24,12,0,2865.6000000000004,1.6,0.0,0.3,3.1,27
Anancus,Start,12921,166,0,28,22,90,0,38,15,8,907.1999999999999,1.8,0.0,0.8,9.7,73
Amphictis,Start,7526,16,0,1,1,9,0,3,1,0,705.5999999999999,1.8,0.0,1.0,12.4,15
Adapis,Start,12134,67,0,3,14,42,0,19,7,1,1814.3999999999999,1.6,0.0,0.4,4.8,30
Anoa,Start,10790,302,0,71,51,189,0,135,47,32,612.0,1.6,0.0,1.2,14.3,62
A Band Apart,Start,11427,285,0,111,19,168,0,59,21,23,578.4000000000001,1.7,0.1,1.3,15.2,82
A Blind Bargain,Start,12172,168,0,13,11,75,0,30,32,6,861.5999999999999,2.2,0.0,0.8,10.2,80
A Bone for a Bone,Start,4210,77,0,13,9,47,0,24,19,2,1617.6000000000001,1.6,0.0,0.5,5.4,39
A Dark Place,Start,4180,20,0,2,2,12,0,3,3,0,1125.6,1.7,0.0,0.6,7.8,17
A Date to Skate,Start,7810,27,0,3,2,20,0,11,6,2,1387.1999999999998,1.4,0.0,0.5,6.3,17
Bawan,Start,12372,7,0,0,1,6,0,3,2,0,2568.0,1.2,0.0,0.3,3.4,6
Atka Iceport,Start,2053,38,0,1,9,23,0,21,5,0,3331.2000000000003,1.7,0.0,0.2,2.6,24
Anti Naugawan,Start,7351,4,0,0,0,4,0,2,0,0,3492.0,1.0,0.0,0.2,2.5,4
Aztec Pass,Start,2587,23,0,0,1,10,0,15,3,1,2500.8,2.3,0.0,0.3,3.5,22
Bagan Serai,Start,6284,77,0,25,13,58,0,25,11,2,1867.1999999999998,1.3,0.0,0.4,4.7,26
Aicard,Start,6051,46,0,5,17,34,0,23,6,2,2736.0,1.4,0.0,0.3,3.2,19
Saint Amaro,Start,10678,113,0,20,18,63,0,37,15,2,1260.0,1.8,0.0,0.6,7.0,54
Jacob Anatoli,Start,13797,55,0,7,10,43,0,23,4,0,3321.6000000000004,1.3,0.0,0.2,2.6,21
Andover Priory,Start,3079,25,0,0,2,18,0,9,7,0,4394.4,1.4,0.0,0.2,2.0,17
Perry Anderson,Start,15924,328,0,117,37,196,0,88,27,11,501.59999999999997,1.7,0.1,1.5,17.5,66
Blake Allen,Start,27034,82,0,15,6,29,0,18,11,6,232.79999999999998,2.8,0.1,3.1,37.6,63
Babes in Arms,Start,16936,269,0,90,24,162,0,73,34,22,674.4000000000001,1.7,0.0,1.1,13.0,72
Altar Boyz,Start,13886,289,0,123,11,155,0,48,42,33,520.8,1.9,0.1,1.4,16.8,113
Amy Augarde,Start,3997,38,0,0,0,10,0,13,5,2,948.0,3.8,0.0,0.8,9.2,38
Tony Azito,Start,11074,107,0,17,16,63,0,31,22,1,1490.4,1.7,0.0,0.5,5.9,45
Avi Loeb,Start,50089,484,0,135,52,196,0,130,60,27,314.4,2.5,0.1,2.3,27.9,140
Vern Ehlers,Start,16801,327,0,65,44,182,0,82,44,23,520.8,1.8,0.1,1.4,16.8,86
Food policy,Start,75364,225,0,17,39,103,0,110,34,6,684.0,2.2,0.0,1.1,12.8,95
Chad Mirkin,Start,24220,432,0,224,28,199,0,81,45,29,319.20000000000005,2.2,0.1,2.3,27.5,133
Gene bank,Start,8780,273,0,111,30,177,0,90,52,45,556.8,1.5,0.1,1.3,15.7,48
Richard Sadiv,Start,5733,19,0,9,1,9,0,0,0,0,420.0,2.1,0.1,1.7,19.0,18
Salburun,Start,1978,28,0,1,5,17,0,5,7,0,2210.3999999999996,1.6,0.0,0.3,4.0,20
Samoa rules,Start,1886,42,0,6,7,29,0,14,7,1,3386.3999999999996,1.4,0.0,0.2,2.6,23
Ronojoy Sen,Start,10851,41,0,0,6,14,0,10,5,1,115.19999999999999,2.9,0.3,6.3,41.0,35
Secutor,Start,7108,242,0,76,21,133,0,60,24,22,650.4000000000001,1.8,0.0,1.1,13.5,98
Barrel nut,Start,2788,41,0,8,3,26,0,12,3,1,3120.0,1.6,0.0,0.2,2.8,25
Body roll,Start,2983,37,0,11,2,29,0,9,6,3,4226.4,1.3,0.0,0.2,2.1,18
Bodycote,Start,5521,147,0,22,8,48,0,32,11,3,1034.4,3.1,0.0,0.7,8.5,100
Boston Metal,Start,8656,23,0,0,3,8,0,6,6,0,144.0,2.9,0.2,5.0,23.0,20
Cable gland,Start,4497,102,0,34,7,66,0,28,16,8,1156.8000000000002,1.5,0.0,0.6,7.6,37
Abaza goat,Stub,2856,17,0,0,3,10,0,8,2,0,2822.3999999999996,1.7,0.0,0.3,3.1,14
Achyrodon,Stub,2418,8,0,0,3,6,0,0,1,0,1452.0,1.3,0.0,0.5,6.0,5
Actiocyon,Stub,3418,7,0,0,0,6,0,1,0,0,686.4000000000001,1.2,0.0,1.1,7.0,7
Altacreodus,Stub,6475,63,0,0,7,24,0,7,0,0,712.8,2.6,0.0,1.0,12.3,47
Altai mole,Stub,2086,54,0,5,15,36,0,30,13,2,2481.6000000000004,1.5,0.0,0.3,3.5,25
11 Flowers,Stub,1698,26,0,0,3,20,0,9,7,0,3403.2000000000003,1.3,0.0,0.2,2.6,16
11.6,Stub,3629,41,0,1,3,23,0,17,12,2,2001.6000000000001,1.8,0.0,0.4,4.4,28
11:55,Stub,3524,58,0,16,4,29,0,14,10,2,794.4000000000001,2.0,0.0,0.9,11.0,39
12 Golden Ducks,Stub,4195,31,0,3,6,22,0,10,8,3,2366.3999999999996,1.4,0.0,0.3,3.7,18
12-12-12,Stub,3147,29,0,2,2,21,0,11,8,0,3168.0,1.4,0.0,0.2,2.8,18
Ashoa,Stub,696,15,0,0,2,10,0,2,4,0,1881.6000000000001,1.5,0.0,0.4,4.7,13
Abgahi,Stub,1933,6,0,0,3,5,0,2,0,1,13512.0,1.2,0.0,0.1,0.6,3
Abyy,Stub,3847,22,0,1,5,11,0,2,2,1,3856.7999999999997,2.0,0.0,0.2,2.3,17
Afna,Stub,2156,11,0,1,0,3,0,0,1,0,1346.4,3.7,0.0,0.5,6.5,11
Afrapol,Stub,1852,5,0,0,3,4,0,2,0,1,5851.200000000001,1.3,0.0,0.1,1.5,2
Argbed,Stub,1775,34,0,1,7,22,0,13,9,3,3998.3999999999996,1.5,0.0,0.2,2.2,21
Argebad,Stub,2343,22,0,1,3,18,0,9,4,0,5445.6,1.2,0.0,0.1,1.6,14
Athulf,Stub,1664,54,0,0,11,21,0,21,10,0,2251.2,2.6,0.0,0.3,3.9,41
Athaloc,Stub,1541,23,0,4,4,18,0,7,5,1,4526.4,1.3,0.0,0.2,1.9,15
Astati,Stub,581,23,0,3,3,19,0,4,3,0,6264.0,1.2,0.0,0.1,1.4,14
Ingrid Cole,Stub,3040,28,0,1,3,19,0,6,11,0,3028.8,1.5,0.0,0.2,2.9,19
Homer Curran,Stub,1640,20,0,1,6,16,0,8,5,0,5400.0,1.3,0.0,0.1,1.6,13
Forever Plaid,Stub,8425,136,0,44,5,96,0,43,16,6,1123.1999999999998,1.4,0.0,0.7,7.8,39
Fela!,Stub,22897,158,0,34,18,89,0,44,14,5,768.0,1.8,0.0,1.0,11.4,53
Jesse Greer,Stub,2383,26,0,4,4,19,0,7,6,1,2980.8,1.4,0.0,0.2,2.9,16
Craig Mundie,Stub,3896,131,0,45,18,92,0,43,18,13,1240.8000000000002,1.4,0.0,0.6,7.1,37
Genome Canada,Stub,2011,27,0,4,2,12,0,6,1,0,1917.6000000000001,2.3,0.0,0.4,4.6,25
ITU-D,Stub,1098,25,0,5,2,22,0,11,0,0,6220.799999999999,1.1,0.0,0.1,1.4,13
OPEN100,Stub,4769,12,0,0,0,4,0,3,2,0,940.8000000000001,3.0,0.0,0.8,9.3,12
Shannon Blunt,Stub,15465,34,0,7,2,16,0,18,1,0,1574.3999999999999,2.1,0.0,0.5,5.6,27
Mahdi Saad,Stub,3581,21,0,3,1,13,0,5,4,0,2671.2,1.6,0.0,0.3,3.3,18
Saat Kadam,Stub,2249,75,0,31,4,39,0,19,12,4,794.4000000000001,1.9,0.0,0.9,11.0,39
Nick Sachvie,Stub,3466,50,0,14,0,20,0,1,13,4,849.5999999999999,2.5,0.0,0.9,10.3,40
Takao Sakai,Stub,1403,6,0,0,2,5,0,1,1,0,7423.200000000001,1.2,0.0,0.1,1.2,4
Greg Sebald,Stub,1287,5,0,0,2,4,0,1,1,0,8880.0,1.3,0.0,0.1,1.0,3
Acorn nut,Stub,1686,43,0,6,5,33,0,12,4,2,3388.7999999999997,1.3,0.0,0.2,2.6,20
Band clamp,Stub,1297,31,0,6,4,22,0,8,4,4,4972.799999999999,1.4,0.0,0.1,1.8,19
Back boiler,Stub,2485,55,0,17,10,32,0,17,13,11,2208.0,1.7,0.0,0.3,4.0,30
CompAir,Stub,2212,62,0,21,6,40,0,15,5,2,2107.2,1.6,0.0,0.3,4.2,30
